Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,ConsentedYESNO,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Windy Bank,14,onshore,,Banks Renewables Ltd,Banks Renewables Ltd (100%),,,4,3.5,,England,County Durham,North East,"Woodland, Windy Bank Road",,Durham County Council,CMA/6/48,54.6483,-1.88639,NZ 07429 28139,68,125,94,Refused,Refused,Refused,05-May-15,,,,,,,,,,,"05/05/2015 Refused ;
05/08/2011 Submitted (LPA)",05-Aug-11,(LPA) ,05-May-15,Refused (LPA) ,,,,,,,,,,,
Windy Corner,0.5,onshore,,1 Stop Renewables Ltd,Landowner (private or company) (100%),,,1,0.5,,Scotland,Aberdeenshire,Scotland,"St Cyrus, Montrose",,Aberdeenshire Council,APP/2012/3970,56.8025,-2.44083,NO 73177 67972,40,64,,Withdrawn,Withdrawn after approval,Consented,19-Feb-14,,,,,,,,,,,"19/02/2014 Withdrawn after approval ;
24/07/2013 Approved ;
05/12/2012 Submitted (LPA)",05-Dec-12,(LPA) ,24-Jul-13,Approved (LPA) ,,,,,,,Maryland (Windy Corner Resubmission),,,,
Windy Edge,22.5,onshore,,Infinis Energy Services Ltd,Energiekontor UK Ltd (100%),,,9,2.5,,Scotland,Scottish Borders,Scotland,"Farmhouse Braidlie, Hawick",,Scottish Borders Council,13/00789/FUL,55.2883,-2.79806,NY 49413 99643,,125,,Consented,Approved on appeal,Consented,09-Jun-16,10-Dec-21,25 years after fully commissioned,,,,,,,,,"09/06/2016 Approved on appeal ;
30/09/2015 On appeal ;
29/06/2015 Refused ;
28/06/2013 Submitted (LPA)",28-Jun-13,(LPA) ,29-Jun-15,Refused (LPA) ,09-Jun-16,Approved on appeal ,,,,,,,10-Dec-18,Scottish Borders Council has granted permission to extend the project commencement date. The project must now be commenced before 10/12/2021. Ref. 18/01251/FUL.,18/01251/FUL (Planning reference)
Windy Harbour Farm,0.45,onshore,,DC21 Group Ltd,DC21 Group Ltd (100%),Endurance,Endurance X33,2,0.225,Horizontal axis turbine,England,Lancashire,North West,"Kings Highway, Huncoat, Accrington, BB5 3UX",,Hyndburn Borough Council,11/15/0126,53.7574,-2.32476,SD 78686 29053,30.5,47,33,Refused,Refused on appeal,Refused,20-Mar-17,,,,,,,,,,,"20/03/2017 Refused on appeal ;
12/05/2016 On appeal ;
22/10/2015 Refused ;
24/03/2015 Submitted (LPA)",24-Mar-15,(LPA) ,22-Oct-15,Refused (LPA) ,20-Mar-17,Refused on appeal ,,,,,,,,,
Windy Hill,52.8,onshore,,ARC NI Ltd,Windyfields Holdings (100%),Nordex,Nordex N100,16,3.3,Horizontal axis turbine,Northern Ireland,Co. Londonderry,Northern Ireland,"Gortmore, Avish",,Causeway Coast & Glens Borough Council,C/2013/0248/F,55.1389,-6.82361,NV 92723 93355,75,125,100,Withdrawn,Withdrawn from appeal,Consented,31-Jul-15,,,,,,,,,,,"31/07/2015 Withdrawn from appeal ;
01/11/2014 On appeal [non-determination] ;
28/06/2013 Submitted (S36)",28-Jun-13,(S36) ,,Not determined ,31-Jul-15,Withdrawn from appeal ,,,,,,,01-Nov-14,An appeal has been lodged on grounds of non determination.,RenewableUK comment
Windy Rig,40.8,onshore,,Element Power Northern Europe Developments Ltd,Statkraft (100%),,,12,3.4,,Scotland,Dumfries & Galloway,Scotland,Carsphairn,,Dumfries & Galloway Council,15/P/2/0155,55.2744,-4.17833,NX 61714 99969,67.5,125,115,Consented,Approved,Consented,07-Dec-17,05-Nov-23,25 years after fully commissioned,,,,,,,,,"07/12/2017 Approved ;
18/05/2015 Submitted (LPA)",18-May-15,(LPA) ,07-Dec-17,Approved (LPA) ,,,,,,,,,14-Jan-19,Dumfries & Galloway Council has accepted the proposed varied turbine dimensions as a non-material variation to the planning permission for Wind Rig wind farm. Larger rotors with diameter 115m and tip height 125m are now permitted.,15/P/2/0155 (Planning reference)
"Windyhill Road, 223",0.225,onshore,,Gravis Planning Ltd,Simple Power Ltd (100%),Endurance,Endurance X29,1,0.225,Horizontal axis turbine,Northern Ireland,Co. Londonderry,Northern Ireland,"187m South of 223 Windyhill Road, Macosquin, Coleraine, BT51 4JL.",,Causeway Coast & Glens Borough Council,C/2011/0415/F,55.1046,-6.77799,NV 95365 89339,30.4,44.9,29,Operational,Fully Commissioned,Consented,27-Jul-16,,25 years after fully commissioned,27-Jul-41,,Replaced,"Windyhill Road, 223 (Replacement) [Submitted (LPA), 17-Oct-2019, 0.25MW]",,,,,"27/07/2016 Fully Commissioned ;
27/02/2016 Under construction [estimate] ;
25/03/2013 Approved on appeal ;
01/11/2012 On appeal [estimate] ;
16/08/2012 Refused ;
18/08/2011 Submitted (LPA)",18-Aug-11,(LPA) ,16-Aug-12,Refused (LPA) ,25-Mar-13,Approved on appeal ,27-Feb-16,Under construction [Estimate],27-Jul-16,,,,,,
Wingate Grange,10,onshore,,Infinis Energy Services Ltd,Infinis Energy Services Ltd (100%),,,5,2,,England,County Durham,North East,"Wingate, Wheatley Hill, Deaf Hill, A181",,Durham County Council,CMA/5/40,54.7292,-1.39472,NZ 39078 37303,,115,,Refused,Refused,Refused,02-Dec-14,,,,,,,,,,,"02/12/2014 Refused ;
07/08/2012 Submitted (LPA)",07-Aug-12,(LPA) ,02-Dec-14,Refused (LPA) ,,,,,,,,,,,
Wingates,15,onshore,,Infinis Energy Services Ltd,Ventient Energy Ltd (100%),Nordex,Nordex N90,6,2.5,Horizontal axis turbine,England,Northumberland,North East,"Land to west of Wingates, Longhorsley, Morpeth",,Northumberland County Council,A/2008/0604,55.2492,-1.86778,NZ 08504 95010,65,110,90,Operational,Fully Commissioned,Consented,01-Mar-13,,,,,,,,,,,"01/03/2013 Fully Commissioned ;
01/08/2012 Under construction ;
06/04/2011 Approved ;
05/12/2008 Submitted (LPA)",05-Dec-08,(LPA) ,06-Apr-11,Approved (LPA) ,,,01-Aug-12,Under construction ,01-Mar-13,,,,26-Nov-17,"Ventient Energy Ltd., formed by combining the Zephyr portfolio of 15 wind farms with 19 wind farms that were formerly owned by Infinis, with the entire portfolio of wind farms and now owned by institutional investors advised by JP Morgan Asset Management, was officially launched on 26 November 2017.",https://www.ventientenergy.com/news-and-media/press-releases/2017/2017/november/uk%E2%80%99s-third-largest-wind-farm-owner-operator-launches-today-as-ventient-energy/
Wingates Moor,10,onshore,,BT PLC,BT PLC (100%),,,4,2.5,,England,Northumberland,North East,,,Northumberland County Council,11/00158/RENEIA,,,,,100,,Refused,Refused,Refused,06-Mar-12,,,,,,,,,,,"06/03/2012 Refused ;
17/03/2011 Submitted (LPA)",17-Mar-11,(LPA) ,06-Mar-12,Refused (LPA) ,,,,,,,,,,,
Wings Law (Part of the LadyMoor Renewable Energy Project,48,onshore,,Wind Hydrogen Ltd,Wind Hydrogen Ltd (100%),,,24,2,,Scotland,North Ayrshire,Scotland,"Ladyland Moor, Kilbirnie, Near Strathclyde",,North Ayrshire Council,07/00761/PP,,,,80,125,90,Refused,Refused,Refused,24-Feb-09,,,,,,,,,,,"24/02/2009 Refused ;
27/07/2007 Submitted (LPA)",27-Jul-07,(LPA) ,24-Feb-09,Refused (LPA) ,,,,,,,,,,,
Winllan Bach,0.1,onshore,,Norvento Enerxia,Landowner (private or company) (100%),Norvento,nED100,1,0.1,Horizontal axis turbine,Wales,Conwy,North Wales,"Land at Winllan Bach Henllan, Conwy LL16 5BN",,Conwy County Borough Council,0/41215,53.1772,-3.5146,SH 98869 65527,24.5,35.5,22,Operational,Fully Commissioned,Consented,01-Mar-16,,25 years after consent,19-Aug-40,,,,,,,,"01/03/2016 Fully Commissioned ;
01/12/2015 Under construction ;
19/08/2015 Approved on appeal ;
14/05/2015 On appeal ;
25/02/2015 Refused ;
11/11/2014 Submitted (LPA)",11-Nov-14,(LPA) ,25-Feb-15,Refused (LPA) ,19-Aug-15,Approved on appeal ,01-Dec-15,Under construction ,01-Mar-16,,,,,,
Winscales,1.98,onshore,,K/S Winscales,K/S Winscales (100%),Vestas,Vestas V47,3,0.66,Horizontal axis turbine,England,Cumbria,North West,"East Town End Farm, Workington",,Allerdale Borough Council,,54.8642,-3.0875,NY 30297 52700,45,69,47,Operational,Fully Commissioned,Consented,01-Dec-99,,,,,,,,,,,"01/12/1999 Fully Commissioned ;
01/06/1999 Under construction ;
01/01/1998 Approved ;
01/11/1997 Submitted (LPA)",01-Nov-97,(LPA) ,01-Jan-98,Approved (LPA) ,,,01-Jun-99,Under construction ,01-Dec-99,,,,,,
Winscales Extension,6.8,onshore,,K/S Winscales,K/S Winscales (100%),Vestas,Vestas V52,8,0.85,Horizontal axis turbine,England,Cumbria,North West,"Askam, nr Workington",,Allerdale Borough Council,,54.8642,-3.0875,NY 30297 52700,45,71,52,Operational,Fully Commissioned,Consented,19-Feb-05,,,,,,,,,,,"19/02/2005 Fully Commissioned ;
01/10/2004 Under construction ;
01/06/2004 Approved ;
01/01/2004 Submitted (LPA)",01-Jan-04,(LPA) ,01-Jun-04,Approved (LPA) ,,,01-Oct-04,Under construction ,19-Feb-05,,,,,,
Winscales Moor,5.95,onshore,,Your Energy,Gravis Capital Management Ltd (100%),Vestas,Vestas V52,7,0.85,Horizontal axis turbine,England,Cumbria,North West,Workington,,Allerdale Borough Council,2/2006/1321,54.6422,-3.49694,NY 03491 28484,50,81,62,Operational,Fully Commissioned,Consented,13-May-09,,25 years after first generation,01-Apr-34,,,,,,,,"13/05/2009 Fully Commissioned ;
01/04/2009 Partial Operation ;
01/01/2009 Under construction ;
12/06/2007 Approved ;
01/12/2006 Submitted (LPA) ;
16/06/2005 Development",01-Dec-06,(LPA) ,12-Jun-07,Approved (LPA) ,,,01-Jan-09,Under construction ,13-May-09,,,,16-Nov-17,Platina Energy Partners LLP has sold a 70 MW portfolio of five operating wind farms to entities managed by Gravis Capital Management Ltd for approximately £52m plus the assumption of the existing debt.,https://www.platinaenergypartners.com/news/platina-energy-partners-llp-sells-a-70-mw-uk-wind-portfolio
Winsey Farm,0.225,onshore,,Landowner (private or company),Landowner (private or company) (100%),ACSA,ACSA A27,1,0.225,Horizontal axis turbine,England,Bedfordshire,East of England,"Park Lane, Sharnbrook, MK44 1NA",,Bedford Borough Council,12/00713/FUL,52.2393,-0.549748,SP 99126 61117,50,63.5,27,Operational,Fully Commissioned,Consented,15-Sep-14,,25 years after fully commissioned,,,,,,,,,"15/09/2014 Fully Commissioned ;
10/03/2014 Under construction ;
28/01/2013 Approved ;
16/04/2012 Submitted (LPA)",16-Apr-12,(LPA) ,28-Jan-13,Approved (LPA) ,,,10-Mar-14,Under construction ,15-Sep-14,,,,,,
Winsham Cross,0.1,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,2,0.05,,England,Devon,South West,"Winsham, Braunton",,North Devon Council,58460,51.1361,-4.13944,SS 50415 39602,25,34,19,Refused,Refused on appeal,Refused,20-Aug-15,,,,,,,,,,,"20/08/2015 Refused on appeal ;
10/04/2015 On appeal ;
15/01/2015 Refused ;
17/11/2014 Submitted (LPA)",17-Nov-14,(LPA) ,15-Jan-15,Refused (LPA) ,20-Aug-15,Refused on appeal ,,,,,,,,,
Winters Lane,0.8,onshore,,Seren Energy Ltd,Landowner (private or company) (100%),Enercon,Enercon E48,1,0.8,Horizontal axis turbine,England,Lincolnshire,East Midlands,Winter's Lane Storage,,South Holland District Council,H11-0658-09,52.7658,0.130556,TF 43847 20817,50,74,48,Operational,Fully Commissioned,Consented,29-Jun-12,,,,,,,,,,,"29/06/2012 Fully Commissioned ;
29/03/2012 Under construction ;
08/06/2011 Approved on appeal ;
27/01/2011 On appeal ;
04/08/2010 Refused ;
25/08/2009 Submitted (LPA)",25-Aug-09,(LPA) ,04-Aug-10,Refused (LPA) ,08-Jun-11,Approved on appeal ,29-Mar-12,Under construction ,29-Jun-12,,,,,,
Winwick,12.3,onshore,,E.ON Climate & Renewables UK Ltd,Cubico Sustainable Investments (100%),Senvion,Senvion MM92,6,2.05,Horizontal axis turbine,England,Northamptonshire,East Midlands,Cold Ashby,,Daventry District Council,DA/2010/0400,52.3664,-1.06083,SP 64045 74676,78,124,92,Operational,Fully Commissioned,Consented,30-Sep-16,,25 years after first generation,09-Jun-41,,,,,,,,"30/09/2016 Fully Commissioned ;
09/06/2016 Partial Operation ;
23/04/2015 Under construction ;
13/07/2012 Approved on appeal [non-determination] ;
27/07/2011 On appeal [non-determination] ;
02/06/2010 Submitted (LPA)",02-Jun-10,(LPA) ,,Not determined ,13-Jul-12,Approved on appeal [Non determination],23-Apr-15,Under construction ,30-Sep-16,,,,30-Nov-16,Cubico Sustinable Investment have acquired the project.,RenewableUK comment
Wistow Road,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.5,,England,Leicestershire,East Midlands,"Kibworth, Harcourt",,Harborough District Council,13/01394/FUL,52.5442,-1.01861,SP 66651 94491,,77,,Refused,Refused,Refused,12-Nov-13,,,,,,,,,,,"12/11/2013 Refused ;
16/09/2013 Submitted (LPA)",16-Sep-13,(LPA) ,12-Nov-13,Refused (LPA) ,,,,,,,,,,,
Witch-Hill,0.45,onshore,,Enviko Ltd,Enviko Ltd (100%),ACSA,ACSA A27,2,0.225,Horizontal axis turbine,Scotland,Aberdeenshire,Scotland,"Memsie, Fraserburgh",,Aberdeenshire Council,APP/2010/1944,,,,31,45,27,Refused,Refused,Refused,04-Apr-12,,,,,,,,,,,"04/04/2012 Refused ;
15/06/2010 Submitted (LPA)",15-Jun-10,(LPA) ,04-Apr-12,Refused (LPA) ,,,,,,,,,,,
Witham,0.5,onshore,,Harworth Power Ltd,Harworth Power Ltd (100%),,,1,0.5,,England,Nottinghamshire,East Midlands,"Main Street, Ragnall",,Bassetlaw District Council,13/00434/FUL,53.2442,-0.798889,SK 80250 72582,,80,,Consented,Approved on appeal,Consented,10-Feb-16,10-Feb-19,25 years after fully commissioned,,,,,,,,,"10/02/2016 Approved on appeal ;
09/09/2014 On appeal ;
23/02/2014 Refused ;
16/04/2013 Submitted (LPA)",16-Apr-13,(LPA) ,23-Feb-14,Refused (LPA) ,10-Feb-16,Approved on appeal ,,,,,,,,,
Witherdon Wood,0.5,onshore,,Ecotricity Group Ltd,Ecotricity Group Ltd (100%),Gamesa,Gamesa G58,1,0.5,Horizontal axis turbine,England,Devon,South West,Ashwater,,Torridge District Council,1/0922/2012/FUL,50.7386,-4.24861,SX 41431 95633,55,84,58,Refused,Refused on appeal,Refused,07-Jul-14,,,,,,,,,,,"07/07/2014 Refused on appeal ;
24/07/2013 On appeal ;
21/05/2013 Refused ;
17/10/2012 Submitted (LPA)",17-Oct-12,(LPA) ,21-May-13,Refused (LPA) ,07-Jul-14,Refused on appeal ,,,,,,,,,
Withern,1.3,onshore,,Lincolnshire Wind Power,Lincolnshire Wind Power (100%),,,1,1.3,,England,Lincolnshire,East Midlands,Stain Lane,,East Lindsey District Council,N/212/02279/05,53.3328,0.1775,TF 45098 83975,65,,70,Refused,Refused,Refused,12-Jun-06,,,,,,,,,,,"12/06/2006 Refused ;
21/09/2005 Submitted (LPA)",21-Sep-05,(LPA) ,12-Jun-06,Refused (LPA) ,,,,,,,,,,,
Withernwick (Resubmission),18.45,onshore,,Energiekontor UK Ltd,Energiekontor UK Ltd (100%),Senvion,Senvion MM82,9,2.05,Horizontal axis turbine,England,East Riding of Yorkshire,Yorkshire & Humber,"Cowden Lane, Withernwick, HU11 4UH (South of Hornsea)",,East Riding of Yorkshire Council,08/01964/STPLFE,53.8467,-0.162222,TA 21003 40505,80,121,82,Operational,Fully Commissioned,Consented,19-Mar-13,,25 years after first generation,19-Mar-38,,,,,,,,"19/03/2013 Fully Commissioned ;
01/04/2012 Under construction ;
20/04/2009 Approved on appeal ;
31/10/2008 On appeal ;
22/09/2008 Refused ;
13/06/2008 Submitted (LPA)",13-Jun-08,(LPA) ,22-Sep-08,Refused (LPA) ,20-Apr-09,Approved on appeal ,01-Apr-12,Under construction ,19-Mar-13,,,Withernwick,11-Dec-18,East Riding of Yorkshire Council have granted planning permission to increase the tip height of the already operational Withernwick wind farm. Energiekontor propose to install Rotor Blade Extensions to the operational turbines increaseing the rotor diameter by 5m and the tip height to 113.5m.,RenewableUK comment
Withernwick Extension,8.2,onshore,,Energiekontor UK Ltd,Energiekontor UK Ltd (100%),Senvion,Senvion MM92,4,2.05,Horizontal axis turbine,England,East Riding of Yorkshire,Yorkshire & Humber,"Cowden Magna Farm, Withernwick Lane, Cowden",,East Riding of Yorkshire Council,14/01919/STPLFE,53.859,-0.166009,TA 20718 41870,75,121,92,Operational,Fully Commissioned,Consented,21-Oct-19,,25 years after first generation,,,,,,,,,"21/10/2019 Fully Commissioned ;
08/06/2018 Under construction ;
18/05/2018 Pre-Construction ;
19/12/2016 Approved on appeal ;
15/10/2015 On appeal ;
10/06/2015 Refused ;
24/06/2014 Submitted (LPA)",24-Jun-14,(LPA) ,10-Jun-15,Refused (LPA) ,19-Dec-16,Approved on appeal ,08-Jun-18,Under construction ,21-Oct-19,,,,08-Jun-18,Construction has started at Withernwick Extension.,RenewableUK comment
Withy End Farm,10,onshore,,EDF Renewables,EDF Renewables (100%),,,5,2,,England,Somerset,South West,East Huntspill,,Sedgemoor,54/11/00004,51.1858,-2.95417,ST 33409 43385,80,126,,Refused,Refused,Refused,25-Apr-12,,,,,,,,,,,"25/04/2012 Refused ;
09/03/2011 Submitted (LPA)",09-Mar-11,(LPA) ,25-Apr-12,Refused (LPA) ,,,,,,,Withy End Farm (Resubmission),,,,
Withy End Farm (Resubmission),10,onshore,,EDF Renewables,EDF Renewables (100%),,,5,2,,England,Somerset,South West,East Huntspill,,Sedgemoor,54/13/00023,51.1858,-2.95417,ST 33409 43385,80,126,92,Refused,Refused,Refused,30-Apr-15,,,,,,,,,,,"30/04/2015 Refused ;
23/12/2013 Submitted (LPA)",23-Dec-13,(LPA) ,30-Apr-15,Refused (LPA) ,,,,,,,,Withy End Farm,,,
Wogaston Farm,2.25,onshore,,TXU Europe,TXU Europe (100%),,,3,0.75,,Wales,Pembrokeshire,Mid Wales,Angle,,Pembrokeshire County Council,99/0697/PA,51.6614,-5.01389,SM 91650 00149,,,,Refused,Refused,Refused,01-Aug-01,,,,,,,,,,,"01/08/2001 Refused ;
01/02/2001 Submitted (LPA)",01-Feb-01,(LPA) ,01-Aug-01,Refused (LPA) ,,,,,,,,,,,
Wold House,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.5,,England,East Riding of Yorkshire,Yorkshire & Humber,"Wold Road, Lund",,East Riding of Yorkshire Council,13/02502/PLF,53.9208,-0.561389,SE 94577 48143,25,34,,Consented,Approved,Consented,08-Oct-13,08-Oct-16,,,,,,,,,,"08/10/2013 Approved ;
26/07/2013 Submitted (LPA)",26-Jul-13,(LPA) ,08-Oct-13,Approved (LPA) ,,,,,,,,,,,
Wolf Bog,10,onshore,,B9 Energy Group; Wind Farm Developments Ltd,ScottishPower Renewables (100%),Vestas,Vestas V80,5,2,Horizontal axis turbine,Northern Ireland,Co. Antrim,Northern Ireland,Ballyclare,,Mid and East Antrim Borough Council,G/2004/0597/F,54.8031,-6.09417,NW 36986 53047,60,100,80,Operational,Fully Commissioned,Consented,01-Dec-07,,,,,,,,,,,"01/12/2007 Fully Commissioned ;
01/11/2007 Partial Operation ;
23/09/2005 Approved ;
08/04/2004 Submitted (LPA)",08-Apr-04,(LPA) ,23-Sep-05,Approved (LPA) ,,,01-Nov-07,Partial Operation ,01-Dec-07,,,,,,
Wood Farm,0.33,onshore,,Landowner (private or company),Landowner (private or company) (100%),Enercon,Enercon E33,1,0.33,Horizontal axis turbine,England,East Riding of Yorkshire,Yorkshire & Humber,"Mappleton Road, Hatfield",,East Riding of Yorkshire Council,11/00945/STPLF,53.8664,-0.161944,TA 20964 42697,50,67,33,Operational,Fully Commissioned,Consented,11-Oct-12,,,,,,,,,,,"11/10/2012 Fully Commissioned ;
10/02/2012 Under construction ;
29/07/2011 Approved ;
06/05/2011 Submitted (LPA)",06-May-11,(LPA) ,29-Jul-11,Approved (LPA) ,,,10-Feb-12,Under construction ,11-Oct-12,,,,,,
Wood Green Animal Shelter,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,England,Cambridgeshire,East of England,"London Road, Godmanchester",,Huntingdonshire District Council,1101886FUL,52.2989,-0.152222,TL 26100 68360,64.5,101.5,54,Operational,Fully Commissioned,Consented,01-Feb-13,,,,,,,,,,,"01/02/2013 Fully Commissioned ;
01/01/2013 Under construction ;
18/04/2012 Approved ;
01/12/2011 Submitted (LPA)",01-Dec-11,(LPA) ,18-Apr-12,Approved (LPA) ,,,01-Jan-13,Under construction ,01-Feb-13,,,,,,
Wood House Farm,0.45,onshore,,Landowner (private or company),Landowner (private or company) (100%),Endurance,Endurance X35,2,0.225,Horizontal axis turbine,England,East Riding of Yorkshire,Yorkshire & Humber,"Old Road, Leconfield",,East Riding of Yorkshire Council,14/04028/PLF,53.8831,-0.481111,SE 99938 44059,31,48,35,Refused,Refused,Refused,31-Mar-15,,,,,,,,,,,"31/03/2015 Refused ;
27/01/2015 Submitted (LPA)",27-Jan-15,(LPA) ,31-Mar-15,Refused (LPA) ,,,,,,,,,,,
Wood Lodge,0.33,onshore,,Landowner (private or company),Landowner (private or company) (100%),Enercon,Enercon E33,1,0.33,Horizontal axis turbine,England,Northamptonshire,East Midlands,Kettering,,Kettering Borough Council,,52.4003,-0.629955,SP 93311 78914,49,66,33,Operational,Fully Commissioned,Consented,09-Jul-13,,,,,,,,,,,"09/07/2013 Fully Commissioned ;
01/04/2013 Under construction ;
27/03/2012 Approved ;
05/01/2012 Submitted (LPA)",05-Jan-12,(LPA) ,27-Mar-12,Approved (LPA) ,,,01-Apr-13,Under construction ,09-Jul-13,,,,,,
Woodbank Farm,1.5,onshore,,Green Cat Renewables Ltd,Landowner (private or company) (100%),Vensys,Vensys 87,1,1.5,Horizontal axis turbine,Scotland,Fife,Scotland,"Woodbank Farm, Standing Stane Road, Kirkcaldy, KY8 5RU",,Fife Council,14/02478/EIA,56.1774,-3.07736,NT 33214 98834,75,118.5,87,Operational,Fully Commissioned,Consented,26-Sep-16,,25 years after fully commissioned,26-Sep-41,,,,,,,,"26/09/2016 Fully Commissioned ;
01/02/2016 Under construction [estimate] ;
20/08/2015 Approved ;
18/07/2014 Submitted (LPA) ;
23/04/2014 Scoping Opinion Issued ;
24/10/2013 Scoping",18-Jul-14,(LPA) ,20-Aug-15,Approved (LPA) ,,,01-Feb-16,Under construction [Estimate],26-Sep-16,,,,,,
Woodborough Park Farm,0.33,onshore,,Myriad CEG,Landowner (private or company) (100%),Enercon,Enercon E33,1,0.33,Horizontal axis turbine,England,Nottinghamshire,East Midlands,"Foxwood Lane, Woodborough",,Gedling Borough Council,2011/0523,53.0253,-1.09111,SK 61059 47943,50,67,33,Operational,Fully Commissioned,Consented,01-Feb-14,,,,,,,,,,,"01/02/2014 Fully Commissioned ;
20/11/2013 Under construction ;
01/06/2013 Approved on JR ;
01/05/2013 Judicial Review ;
03/11/2011 Approved ;
11/05/2011 Submitted (LPA)",11-May-11,(LPA) ,03-Nov-11,Approved (LPA) ,01-Jun-13,Approved on JR ,20-Nov-13,Under construction ,01-Feb-14,,,,,,
Woodford Farm (Cornwall),0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.5,,England,Cornwall,South West,Pelynt,,Cornwall Council,PA12/12011,50.3544,-4.56167,SX 17868 53637,50,77,54,Refused,Refused on appeal,Refused,24-Mar-15,,,,,,,,,,,"24/03/2015 Refused on appeal ;
14/05/2014 On appeal ;
07/02/2014 Refused ;
21/12/2012 Submitted (LPA)",21-Dec-12,(LPA) ,07-Feb-14,Refused (LPA) ,24-Mar-15,Refused on appeal ,,,,,,,,,
Woodford Farm (Devon),0.5,onshore,,Murex Energy Ltd,Murex Energy Ltd (100%),EWT,EWT DW 54,1,0.5,Horizontal axis turbine,England,Devon,South West,Witheridge,,Mid Devon District Council,12/00161/FULL,50.9094,-3.70373,SS 80314 13600,40,67,54,Refused,Refused on appeal,Refused,30-Oct-13,,,,,,,,,,,"30/10/2013 Refused on appeal ;
29/05/2012 On appeal ;
24/04/2012 Refused ;
06/02/2012 Submitted (LPA)",06-Feb-12,(LPA) ,24-Apr-12,Refused (LPA) ,30-Oct-13,Refused on appeal ,,,,,,,,,
Woodhall Farm,0.5,onshore,,Landowner (private or company),GVO Wind Ltd (100%),,,1,0.5,,Scotland,East Lothian,Scotland,"Innerwick, Dunbar, EH42 1SH",,East Lothian Council,11/00921/P,55.9408,-2.49583,NT 69127 72083,50,78,56,Operational,Fully Commissioned,Consented,09-Dec-14,,25 years after fully commissioned,09-Dec-39,,,,,,,,"09/12/2014 Fully Commissioned ;
01/07/2014 Under construction [estimate] ;
01/04/2014 Pre-Construction ;
19/09/2012 Approved on appeal [non-determination] ;
21/06/2012 On appeal [non-determination] ;
18/10/2011 Submitted (LPA)",18-Oct-11,(LPA) ,,Not determined ,19-Sep-12,Approved on appeal [Non determination],01-Jul-14,Under construction [Estimate],09-Dec-14,,,,,,
Woodhead Farm,0.5,onshore,,Landowner (private or company),Landowner (private or company) (100%),,,1,0.5,,Scotland,Perth & Kinross,Scotland,Blairgowrie,,Perth & Kinross Council,11/02165/FLL,56.6017,-3.34639,NO 17437 46345,,,,Refused,Refused,Refused,29-Feb-12,,,,,,,,,,,"29/02/2012 Refused ;
27/12/2011 Submitted (LPA)",27-Dec-11,(LPA) ,29-Feb-12,Refused (LPA) ,,,,,,,,,,,
Woodheads Farm,0.1,onshore,,Landowner (private or company),Landowner (private or company) (100%),Northern Power Systems,NPS100-24,1,0.1,Horizontal axis turbine,Scotland,Scottish Borders,Scotland,Greenlaw,,Scottish Borders Council,13/01347/FUL,55.7306,-2.43528,NT 72762 48663,30.1,41.8,23.6,Operational,Fully Commissioned,Consented,01-Jan-17,,,,,,,,,,,"01/01/2017 Fully Commissioned ;
01/09/2016 Under construction ;
01/09/2014 Approved ;
29/11/2013 Submitted (LPA)",29-Nov-13,(LPA) ,01-Sep-14,Approved (LPA) ,,,01-Sep-16,Under construction ,01-Jan-17,,,,,,
Woodhill Hunting Lodge,0.25,onshore,,Woodhill Hunting Lodge,Landowner (private or company) (100%),,,1,0.25,,Northern Ireland,Co. Fermanagh,Northern Ireland,"Derrynannu, Irvinestown",,Enniskillen DC,L/2012/0549/F,54.4478,-7.63528,NV 34864 20456,30,45,30,Operational,Fully Commissioned,Consented,15-May-14,,,,,,,,,,,"15/05/2014 Fully Commissioned ;
15/04/2014 Under construction ;
16/11/2012 Approved ;
09/08/2012 Submitted (LPA)",09-Aug-12,(LPA) ,16-Nov-12,Approved (LPA) ,,,15-Apr-14,Under construction ,15-May-14,,,,,,
