Project,Project_Capacity_MW,Type,Storage_Capacity_MWh,Developer,Owner,Generator_Make,Generator_Model,Number_of_Generators,Generator_Capacity,Generator_Type,Country,County,UK_Region,Location,Sea_area,Lpa,Lpa_reference,Latitude_Decimal,Longitude_Decimal,UKNatGridRef,Hub_Height,Tip_Height,Rotor_Diameter,Summary_Status,Status,Status_Date,ConsentLapseDate,ConsentExpireTerm,ConsentExpireDate,ConsentExtension,SupersedeMethod,SupersedeByProject,SupersededMethod,SupersededProject,Colocated_Grid,Colocated_Grid_Detail,History,Submitted_Date,Submitted_Note,Decision_Date,Decision_Note,Appeal_Decision_Date,Appeal_Decision_Note,Construction_Date,Construction_Note,Commissioned_Date,Commissioned_Note,ResubmittedByProject,ResubmissionOfProject,LatestNewsDate,LatestNewsText,LatestNewsSource
Skelmorlie,1,onshore,,Locogen Ltd,Locogen Ltd (100%),,,2,0.5,,Scotland,North Ayrshire,Scotland,"Site To East Of Skelmorlie Clubhouse, Skelmorlie",,North Ayrshire Council,19/00495/EIA,55.865,-4.87599,NS 20127 67271,55,81,52,Development,Scoping Opinion Issued,02-Jul-19,,,,,,,,,,,"02/07/2019 Scoping Opinion Issued ;
26/06/2019 Scoping",,,,,,,,,,,,,02-Jul-19,North Ayrshire Council has decided that an EIA is not required for an application for two turbines of tip height 81m at Skelmorie.,RenewableUK comment
Skitten Airfield,0.5,onshore,,Temporis Wind Ltd,Temporis Wind Ltd (100%),,,1,0.5,,Scotland,Caithness,Scotland,"Land 820M NE Of Skitten Quarry, Killimster, Wick",,Highland Council,"	15/00806/SCRE",58.4979,-3.16097,ND 32431 57220,50,77,54,Development,Scoping Opinion Issued,16-Mar-15,,,,,,,,,,,"16/03/2015 Scoping Opinion Issued ;
09/03/2015 Scoping",,,,,,,,,,,,,16-Mar-15,The Highland Council have decided that an Environmental Impact Assessment would be required to support an application for a wind turbine at Skitten Airfield,RenewableUK comment
Slickly,46.2,onshore,,Statkraft,Statkraft (100%),,,11,4.2,,Scotland,Caithness,Scotland,"Land 1650M East Of Slickly Croft, Lyth, Wick",,Highland Council,19/02691/SCOP,58.5764,-3.16625,ND 32275 65969,81.09,149.9,136,Development,Scoping Opinion Issued,31-Jul-19,,,,,,,,,,,"31/07/2019 Scoping Opinion Issued ;
30/05/2019 Scoping ;
02/02/2018 Scoping Opinion Issued ;
29/11/2017 Scoping",,,,,,,,,,,,,31-Jul-19,The Highland Council has issued its Scoping Opinion for a revised design for Slickly wind farm.,RenewableUK comment
South Cudreach (Resubmission),,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,2,,,Scotland,Highland,Scotland,"Land 1km NE Of South Cuidreach On The East Of The A87, Cuidreach, Earlish, Isle of Skye, IV51 9XL",,Highland Council,19/00660/SCOP,57.5404,-6.35936,NG 39226 58406,,150,,Development,Scoping Opinion Issued,08-Mar-19,,,,,,,,,,,"08/03/2019 Scoping Opinion Issued ;
11/02/2019 Scoping",,,,,,,,,,,,South Cudreach,08-Mar-19,The Highland council have decided that an EIA is not required to support a planning application for two 150m tip height turbines at South Cudreach. A separate scoping opinion request (19/00660/SCOP) has subsequently been withdrawn.,RenewableUK comment
South Kilbraur,28,onshore,,Wind 2 Ltd,Wind 2 Ltd (100%),,,7,4,,Scotland,Highland,Scotland,"Land 1700m South Of 43 Farlary, Rogart",,Highland Council,18/05417/SCOP,58.0108,-4.08334,NC 77000 04300,,149.9,,Development,Scoping Opinion Issued,19-Dec-18,,,,,,,,,storage,storage ?MW,"19/12/2018 Scoping Opinion Issued ;
19/11/2018 Scoping",,,,,,,,,,,,,08-Feb-19,A proposal of application notice has been submitted to The Highland Council for the proposed South Kilbraur wind farm and energy storage system.,RenewableUK comment
Spencers House Farm,2.5,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,1,2.5,,England,Merseyside,North West,"Spencers House Farm, North Perimeter Road, Knowsley Industrial Park, Kirkby",,West Lancashire Borough Council,2017/0462/SCR,53.4952,-2.84008,SD 44365 00162,,126,,Development,Scoping Opinion Issued,18-May-17,,,,,,,,,,,"18/05/2017 Scoping Opinion Issued ;
18/04/2017 Scoping",,,,,,,,,,,,,18-May-17,"West Lancashire Borough Council have determinted that an Environmental Impact Statement is not required for CleanEarth Energy's proposed development at Spencers House Farm, Simonswood, Kirkby.",RenewableUK comment
Stemster,55,onshore,,Innogy Renewables UK Ltd,Innogy Renewables UK Ltd (100%),,,11,5,,Scotland,Highland,Scotland,"1120m SE of Achvanich Farmhouse, Latheron",,Highland Council,18/05006/SCOP,58.3504,-3.36514,ND 20198 41018,,200,,Development,Scoping,02-Jul-19,,,,,,,,,storage,storage: Stemster Battery Storage [Scoping] 10MW,"02/07/2019 Scoping ;
29/11/2018 Scoping Opinion Issued ;
25/10/2018 Scoping",,,,,,,,,,,,,02-Jul-19,Innogy Renewables UK has submitted a new Scoping Opinion request to Scottish Ministers for Stemster wind farm. The new 55MW proposal features 11 turbines with tip heights up to 200m plus a battery storage facility of up to 10MW capacity.,RenewableUK comment
Strath Tirry,10,onshore,,REG Windpower Ltd,REG Windpower Ltd (100%),,,4,2.5,,Scotland,Highland,Scotland,"Land 1450m NE of Dalmichie, Lairg",,Highland Council,18/00494/SCOP,58.0963,-4.4143,NC 57790 14470,,135,,Development,Scoping Opinion Issued,01-Mar-18,,,,,,,,,,,"01/03/2018 Scoping Opinion Issued ;
02/02/2018 Scoping ;
29/05/2015 Scoping Opinion Issued ;
15/04/2015 Scoping",,,,,,,,,,,,,01-Mar-18,The Highland Council has issued a scoping opinion for REG Power Management's proposed Strath Tirry wind farm,RenewableUK comment
Strathrory,62,onshore,,Energiekontor UK Ltd,Energiekontor UK Ltd (100%),,,11,5.6,,Scotland,Highland,Scotland,approximately 4 km northeast of Ardross and 8 km northwest of Alness in the Highlands,,Highland Council,ECU00001943,57.7656,-4.2922,NH 63736 77411,,180,,Development,Scoping,06-Sep-19,,,,,,,,,,,06/09/2019 Scoping,,,,,,,,,,,,,17-Sep-19,Energiekontor UK has submitted a proposal of application notice for Strathrory wind farm. A community consultation event will be held on 30 October at Ardross Community Hall.,RenewableUK comment
Stroanshalloch,28,onshore,,Infinergy Ltd,Infinergy Ltd (100%),,,7,4,,Scotland,Dumfries & Galloway,Scotland,6km west of Moniaive,,Dumfries & Galloway Council,18/0417/SCO,55.1917,-4.05271,NX 69422 90521,,149.5,,Development,Scoping Opinion Issued,31-Jul-18,,,,,,,,,,,"31/07/2018 Scoping Opinion Issued ;
19/03/2018 Scoping ;
03/06/2013 Scoping Opinion Issued",,,,,,,,,,,,,31-Jul-18,Dumfries & Galloway Council have issued a scoping opinion for Infinergy's proposed Stroanshallock wind farm. The scoping opinion is for the 11 turbine proposal with tip heights up to 149.5m. Infinergy have separately submitted a proposal of application notice for a 7 turbine proposal for Stroanshalloch.,RenewableUK comment
Tacher,8.6,onshore,,Cleanearth Energy,Cleanearth Energy (100%),,,2,4.3,,Scotland,Caithness,Scotland,"Land 470M North Of Tacher, Latheron",,Highland Council,18/05052/SCRE,58.4065,-3.41849,ND 17207 47329,,150,,Development,Scoping Opinion Issued,03-Sep-19,,,,,,,,,,,"03/09/2019 Scoping Opinion Issued ;
15/08/2019 Scoping ;
21/11/2018 Scoping Opinion Issued ;
29/10/2018 Scoping",,,,,,,,,,,,,03-Sep-19,"The Highland Council has advised that an EIA is required to support an application for two wind turbines at Tacher, Latheron",RenewableUK comment
